@RELATION stress
@ATTRIBUTE VERTICAL_AVERAGE_PRESSURE NUMERIC
@ATTRIBUTE VERTICAL_AVERAGE_SIZE NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_DELTA NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_TIME_LENGTH NUMERIC
@ATTRIBUTE VERTICAL_SCROLL_INTERACTION_LENGTH NUMERIC
@ATTRIBUTE VERTICAL_SPEED_SCROLL_DELTA NUMERIC
@ATTRIBUTE VERTICAL_SPEED_SCROLL_INTERACTION NUMERIC
@ATTRIBUTE VERTICAL_MEAN_DISTANCE_CENTER NUMERIC
@ATTRIBUTE VERTICAL_MEAN_DISTANCE_TOP_LEFT NUMERIC
@ATTRIBUTE VERTICAL_LINEARITY NUMERIC
@ATTRIBUTE VERTICAL_LINEARITY_SUM_EVERY_POINT NUMERIC
@ATTRIBUTE class {no-stress, stress}
@data
0.6144230870100168,0.3025641143321991,1018.0,181.0,346.19924024618336,5.624309392265193,1.9127029847855435,394.88279382235896,1385.1442467168931,82.0,82.0,no-stress
0.5903846254715552,0.2666666805744171,606.0,190.0,304.2692484549303,3.1894736842105265,1.601417097131212,476.74093517699174,1439.9059857235209,64.0,64.0,no-stress
0.5596154011212863,0.2717948853969574,380.0,198.0,260.15084196101304,1.9191919191919191,1.3138931412172377,497.89715827892013,1470.5600504886208,56.0,66.0,no-stress
0.6173611183961233,0.3037037154038747,646.0,264.0,406.55719681402286,2.446969696969697,1.5399893818712986,509.0855738715911,1497.2443354917264,93.0,101.0,no-stress
0.641000018119812,0.3706666910648346,572.0,396.0,416.60346970028405,1.4444444444444444,1.052028963889606,427.3630586029432,1433.4801274101765,54.0,82.0,no-stress
0.6683823571485632,0.3921568954692167,639.0,255.0,358.21006527864586,2.5058823529411764,1.4047453540339052,397.5922232814618,1418.2024370824022,7.0,73.0,no-stress
0.6076923150282639,0.2666666805744171,688.0,214.0,344.9358639162442,3.2149532710280373,1.6118498313843188,468.77915252168305,1470.9439502623354,64.0,64.0,no-stress
0.6322916845480601,0.3333333432674408,604.0,173.0,249.53667149337957,3.491329479768786,1.4424085057420784,446.56016957307304,1440.3417747013218,96.0,96.0,no-stress
0.6012500107288361,0.2666666805744171,443.0,148.0,295.48675414024666,2.9932432432432434,1.9965321225692343,468.1809867833956,1457.0968299936358,61.0,65.0,no-stress
0.5181818360632117,0.2666666805744171,137.0,156.0,221.35774280984788,0.8782051282051282,1.418959889806717,522.9121792742303,1455.764089694954,30.0,40.0,no-stress
0.6517857228006635,0.36666668951511383,715.0,197.0,443.6104361439245,3.6294416243654823,2.2518296250960637,342.6716849807825,1311.9182262326667,35.0,77.0,no-stress
0.60546875,0.30000001192092896,572.0,247.0,394.08231972492916,2.3157894736842106,1.595474978643438,314.7940861948202,1331.7402950004362,100.0,100.0,no-stress
0.6386904886790684,0.3492063681284587,708.0,330.0,520.4805008294646,2.1454545454545455,1.5772136388771656,379.13045884405403,1321.8851475188208,22.0,64.0,no-stress
0.6227272830226205,0.327272737568075,627.0,338.0,532.6285433430996,1.8550295857988166,1.575824092731064,371.9424238221052,1308.169417549701,20.0,64.0,no-stress
0.6705645303572377,0.3827957280220524,510.0,495.0,591.5174020517469,1.0303030303030303,1.1949846506095898,408.25766927369625,1312.4826739902574,3.0,71.0,no-stress
0.5788461565971375,0.32307693362236023,586.0,189.0,211.10094415074835,3.1005291005291005,1.116936212437822,453.69673856137115,1413.7322395871843,60.0,60.0,no-stress
0.6317307903216436,0.3333333432674408,743.0,189.0,265.34887166248546,3.931216931216931,1.4039622839284944,369.0477053451771,1372.9987627128025,119.0,119.0,no-stress
0.6162500083446503,0.3133333444595337,753.0,123.0,153.98861790024603,6.121951219512195,1.2519399829288296,428.04548260760413,1449.7174175111713,40.0,42.0,no-stress
0.5695312581956387,0.32500001043081284,378.0,239.0,279.7457471535301,1.5815899581589958,1.170484297713515,504.9478293300471,1476.1756916986235,88.0,88.0,no-stress
0.5767857262066433,0.32380953431129456,672.0,214.0,330.2388798831718,3.1401869158878504,1.543172335902672,521.7354917291971,1461.8714138344153,42.0,42.0,no-stress
0.6825000149863106,0.38666669726371766,643.0,560.0,657.740974384191,1.1482142857142856,1.1745374542574838,468.7457257033276,1403.097999861036,11.0,161.0,no-stress
0.655468761920929,0.3875000309199095,837.0,239.0,352.774062127576,3.502092050209205,1.4760421009522007,410.1397636111019,1322.840480810893,29.0,35.0,no-stress
0.6767857330186027,0.4000000293765749,385.0,197.0,311.04392069924097,1.9543147208121827,1.5789031507575684,265.36022294429245,1297.33112514421,77.0,81.0,no-stress
0.6785714370863778,0.3952381248985018,569.0,205.0,362.11029592794836,2.7756097560975608,1.7663916874534067,276.0997484807453,1271.271192256906,47.0,67.0,no-stress
0.6618421077728271,0.3859649426058719,443.0,289.0,358.24507663893246,1.532871972318339,1.239602341311185,279.50020689195316,1292.4214790083129,15.0,81.0,no-stress
0.6727272868156433,0.40000002763488074,255.0,157.0,266.69014963702574,1.624203821656051,1.6986633734842405,243.68871089448442,1246.1976041914018,51.0,55.0,no-stress
0.6693750113248825,0.38666669726371766,573.0,321.0,460.4653520729107,1.7850467289719627,1.4344715017847687,319.7817813389341,1352.6231192518017,111.0,129.0,no-stress
0.6203703637476321,0.32592593630154926,527.0,420.0,455.70070976635986,1.2547619047619047,1.0850016899199044,445.11856595527297,1455.9754995210071,104.0,106.0,no-stress
0.6625000072850121,0.3740740997923745,160.0,272.0,433.9479313047963,0.5882352941176471,1.5953968062676336,343.5854367392571,1359.41648509978,70.0,102.0,no-stress
0.6198529460850883,0.30588236451148987,1335.0,272.0,401.6693554230679,4.908088235294118,1.4767255714083378,518.169742652539,1508.9611112910616,71.0,71.0,no-stress
0.6289062574505806,0.3333333432674408,559.0,230.0,340.7361154996201,2.4304347826086956,1.4814613717374787,496.0642296911466,1489.9356778700767,128.0,128.0,no-stress
0.630500009059906,0.3120000112056732,688.0,380.0,423.51905621650417,1.8105263157894738,1.1145238321486952,506.01364678437557,1478.3347520879238,97.0,121.0,no-stress
0.6331250011920929,0.3066666781902313,550.0,297.0,346.0363506967898,1.8518518518518519,1.1651055579016492,461.80273120912534,1455.3831873651432,122.0,122.0,no-stress
0.6687500124627893,0.3848485147411173,623.0,330.0,500.2096295800808,1.887878787878788,1.5157867563032752,403.7674606861225,1388.889706286226,58.0,118.0,no-stress
0.654166680795175,0.35308643954771535,592.0,405.0,450.8833543809854,1.4617283950617284,1.1132922330394701,400.41674060117566,1396.2694674229224,35.0,67.0,no-stress
0.6130681986158545,0.3333333432674408,379.0,346.0,402.8977399703199,1.0953757225433527,1.164444335174335,472.64391311350465,1478.9626785186247,196.0,196.0,no-stress
0.6656250084439913,0.3861111414929231,532.0,363.0,454.0153652916364,1.465564738292011,1.2507310338612572,307.48851008909674,1343.6634894884573,141.0,141.0,no-stress
0.6592592685310928,0.38518521520826554,547.0,413.0,532.7638256485507,1.324455205811138,1.2899850499964907,328.1614286205081,1292.7260255914236,2.0,118.0,no-stress
0.645500009059906,0.38133336186408995,605.0,388.0,555.1672230614344,1.559278350515464,1.4308433584057587,349.38079460275395,1385.2059823785762,178.0,178.0,no-stress
